  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2515                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.400 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2603   0.00813   0.00280  -0.0618   0.7383   0.6609
  -1.000   0.1535   0.00844   0.00288  -0.0637   0.7858   0.5476
  -2.000   0.0450   0.00887   0.00313  -0.0651   0.8289   0.4483
  -3.000  -0.0637   0.00947   0.00354  -0.0664   0.8670   0.3585
  -4.000  -0.1733   0.01028   0.00417  -0.0675   0.8987   0.2757
  -5.000  -0.2827   0.01134   0.00501  -0.0685   0.9259   0.2032
  -6.000  -0.4039   0.01268   0.00615  -0.0667   0.9453   0.1447
  -7.000  -0.5375   0.01428   0.00760  -0.0617   0.9592   0.1042
 -10.000  -0.9352   0.02047   0.01390  -0.0440   0.9940   0.0538
 -11.000  -1.0352   0.02316   0.01672  -0.0430   1.0000   0.0471
